name,isPoly,callsPoly,nsends,loc
apache-derby_r817075_20090920-DeleteOperation-writeExternal, false, false, 3, 5
apache-derby_r817075_20090920-ServiceRegistration-setProperties, false, false, 0, 0
apache-derby_r817075_20090920-LiveLockTest-checkExceptions, false, false, 3, 8
apache-derby_r817075_20090920-StreamingColumnTest-testStream13, false, true, 8, 68
apache-derby_r817075_20090920-GenericParameterValueSet-allAreSet, true, false, 0, 19
apache-derby_r817075_20090920-ErrorMessages-run, false, false, 2, 6
apache-derby_r817075_20090920-StatementEventsTest-testErrorEventOnClosedConnection, false, true, 6, 13
apache-derby_r817075_20090920-BlobTest-transferAlphabetData, false, false, 3, 8
apache-derby_r817075_20090920-TestDbMetaData-testGetSchemasMatchingBLAH, false, true, 3, 7
apache-derby_r817075_20090920-PropertyInfo-PropertyInfo, false, false, 0, 1
apache-derby_r817075_20090920-Sort-openSortScan, true, false, 0, 0
apache-derby_r817075_20090920-ConnectionEnv-removeCurrentSession, false, false, 3, 6
apache-derby_r817075_20090920-BasicDatabase-map, true, false, 0, 3
apache-derby_r817075_20090920-FormatableBitSetTest-testGrowSmaller, false, false, 7, 8
apache-derby_r817075_20090920-CodeChunk-instructionLength, false, false, 1, 11
apache-derby_r817075_20090920-TransactionTable-findTransactionContextByGlobalId, false, true, 7, 26
apache-derby_r817075_20090920-TransactionTableEntry-TransactionTableEntry, false, false, 0, 1
apache-derby_r817075_20090920-GenericStatementContext-inUse, true, false, 0, 3
apache-derby_r817075_20090920-GeneratorBase-printErrors, false, false, 6, 11
apache-derby_r817075_20090920-T_StreamFile-SF001, false, true, 19, 59
apache-derby_r817075_20090920-T_b2i-t_019, false, true, 39, 169
apache-derby_r817075_20090920-BaseMonitor-getDefaultModuleProperties, true, false, 26, 57
apache-derby_r817075_20090920-B2IStaticCompiledInfo-isNull, true, false, 0, 3
apache-derby_r817075_20090920-LogRecord-skipLoggable, false, false, 4, 21
apache-derby_r817075_20090920-FlushedScanHandle-getLoggable, true, true, 8, 22
apache-derby_r817075_20090920-HeapRowLocation-getClone, true, false, 1, 3
apache-derby_r817075_20090920-Scan-getEstimatedRowCount, true, false, 1, 4
apache-derby_r817075_20090920-ErrorStreamTest-assertIsDirectory, false, false, 3, 14
apache-derby_r817075_20090920-Changes10_4-testIndexes, false, true, 10, 74
apache-derby_r817075_20090920-SampMog-setVars, false, false, 2, 7
apache-derby_r817075_20090920-CorruptRandomAccessFile-readInt, false, false, 1, 3
apache-derby_r817075_20090920-EmptyDictionary-dropSchemaDescriptor, true, false, 0, 4
apache-derby_r817075_20090920-JCECipherFactory-init, false, false, 45, 218
apache-derby_r817075_20090920-ClobImpl-getSubString, true, false, 1, 3
apache-derby_r817075_20090920-CalendarController-login, false, false, 2, 14
apache-directorystudio_r817075_20090920-BrowserConnectionIO-writeBookmark, false, false, 3, 8
apache-directorystudio_r817075_20090920-SyntaxValueEditorRelation-SyntaxValueEditorRelation, false, false, 0, 4
apache-directorystudio_r817075_20090920-ModelConverter-ldifAttrValLineToValue, false, false, 4, 12
apache-directorystudio_r817075_20090920-WidgetModifyEvent-WidgetModifyEvent, false, false, 0, 3
apache-directorystudio_r817075_20090920-ACIItemItemPermissionsComposite-setVisible, false, false, 2, 4
apache-directorystudio_r817075_20090920-RenameAction-queryNewServerNameInline, false, false, 12, 20
apache-directorystudio_r817075_20090920-SearchPageWrapper-createSearchNameLine, false, false, 9, 25
apache-directorystudio_r817075_20090920-AliasesDereferencingWidget-createWidget, false, false, 7, 25
apache-directorystudio_r817075_20090920-LdapFilterParser-parse, false, true, 99, 239
apache-directorystudio_r817075_20090920-ServerXmlIOV153-createInterceptors, false, false, 26, 57
apache-directorystudio_r817075_20090920-ServerConfigurationV153-setPartitions, false, false, 0, 3
apache-directorystudio_r817075_20090920-ApacheDsSchemaConnector-isHumanReadable, false, false, 4, 12
apache-directorystudio_r817075_20090920-ServerConfigurationV154-setSaslPrincipal, false, false, 0, 3
apache-directorystudio_r817075_20090920-ServerXmlIOV154-readKdcServerBean, false, false, 7, 31
apache-directorystudio_r817075_20090920-LinkWithEditorAction-dispose, false, false, 7, 10
apache-directorystudio_r817075_20090920-ConnectionManager-getConnectionByName, false, false, 3, 10
apache-directorystudio_r817075_20090920-ConnectionParameter-setExtendedBoolProperty, false, false, 3, 3
apache-directorystudio_r817075_20090920-ConnectionFolder-setSubFolderIds, false, false, 1, 4
apache-directorystudio_r817075_20090920-CheckNetworkParameterRunnable-getName, true, false, 0, 3
apache-directorystudio_r817075_20090920-DeleteAction-getConnectionsFoldersToDelete, false, false, 14, 26
apache-directorystudio_r817075_20090920-ConnectionUniversalListener-connectionFolderRemoved, true, true, 1, 3
apache-directorystudio_r817075_20090920-ConnectionContentProvider-ConnectionContentProvider, false, false, 0, 0
apache-directorystudio_r817075_20090920-NetworkParameterPage-createComposite, true, false, 22, 50
apache-directorystudio_r817075_20090920-SearchRunnable-runNotification, true, false, 2, 7
apache-directorystudio_r817075_20090920-ExportCsvJob-exportToCsv, false, true, 12, 36
apache-directorystudio_r817075_20090920-ExportDsmlJob-processAsDsmlResponse, false, false, 14, 39
apache-directorystudio_r817075_20090920-BrowserView-dispose, false, true, 7, 16
apache-directorystudio_r817075_20090920-ModificationLogsViewActionGroup-dispose, false, false, 3, 17
apache-directorystudio_r817075_20090920-SearchLogsViewUniversalListener-updateInput, false, false, 3, 10
apache-directorystudio_r817075_20090920-ServersHandler-removeServer, false, true, 6, 17
apache-directorystudio_r817075_20090920-AttributeDeletedEvent-AttributeDeletedEvent, false, false, 0, 4
apache-directorystudio_r817075_20090920-IBrowserConnection-isFetchOperationalAttributes, true, false, 0, 0
apache-directorystudio_r817075_20090920-IAttribute-isOperationalAttribute, true, false, 0, 0
