allMethods,polyMethods,messages,hierarchies,hierarchies,polyHierarchies,classes,polyClasses,methodsCallingPoly,classesCallingPoly,polyCalls,allCalls,implementsPolymorphism,usesPolymorphism
[ical4j-vcard-0.9.2_20090803] , 405, 140, 5, 4, 4, 4, 121, 98, 16, 13, 22, 230, true, true
[invicta-0.1_20090903] , 632, 230, 98, 7, 7, 6, 70, 44, 99, 37, 260, 782, true, true
[itext_20090905] , 6583, 1152, 234, 43, 43, 29, 879, 308, 881, 461, 2349, 15970, true, true
[jabref_20090905] , 4372, 718, 111, 28, 28, 16, 839, 277, 312, 194, 480, 7671, true, true
[jac-cvs_20090903] , 9348, 3376, 946, 54, 54, 45, 1031, 588, 1905, 494, 3475, 11710, true, true
[jacob-1.15-M2_20090823] , 818, 40, 15, 5, 5, 4, 105, 21, 21, 11, 28, 1093, true, true
[jajuk_20090905] , 3771, 779, 179, 28, 28, 21, 536, 245, 299, 126, 485, 10359, true, true
[javassist-3.4] , 2194, 626, 178, 20, 20, 15, 243, 155, 488, 112, 762, 4955, true, true
[jbosscache-core-3.2.0.GA] , 9247, 2405, 606, 82, 82, 60, 1263, 602, 1881, 562, 3134, 14429, true, true
[jdepend-2.9] , 509, 141, 55, 6, 6, 6, 65, 36, 35, 19, 58, 840, true, true
[jedit_r16116_20090830] , 6557, 1045, 338, 52, 52, 43, 876, 388, 544, 228, 970, 13887, true, true
[jext-sources-5.0_20040818] , 3484, 816, 166, 23, 23, 19, 686, 370, 178, 112, 354, 5180, true, true
[jfire_20090905] , 17667, 3336, 1099, 163, 163, 132, 2517, 928, 1524, 634, 2880, 21768, true, true
[jfreechart-1.0.13] , 10465, 1872, 389, 32, 32, 25, 902, 433, 1603, 412, 3265, 18040, true, true
[jgrapht-0.8.1] , 945, 98, 27, 8, 8, 4, 228, 33, 9, 8, 14, 483, true, true
[jhotdraw7_20090906] , 6096, 2315, 599, 42, 42, 32, 661, 345, 1591, 371, 4275, 10309, true, true
[jimm_20090905] , 1455, 275, 60, 5, 5, 5, 106, 56, 99, 35, 177, 4098, true, true
[jitterbit_r31527_20090830] , 44723, 12523, 3418, 359, 359, 312, 7926, 4345, 9219, 3655, 14312, 61381, true, true
[jmagallanes-1.0] , 5078, 688, 187, 33, 33, 29, 447, 165, 517, 132, 752, 8602, true, true
[jmec64_20090905] , 1119, 330, 101, 12, 12, 12, 189, 86, 237, 65, 562, 2057, true, true
[jmol_r11401_20090830] , 7629, 1923, 681, 40, 40, 33, 586, 297, 1216, 278, 2249, 15453, true, true
[jppf-1.9.1-20090805] , 2970, 681, 198, 40, 40, 27, 574, 206, 362, 164, 658, 3812, true, true
[jrisk_20090905] , 1224, 209, 54, 5, 5, 4, 168, 37, 63, 23, 98, 2613, true, true
[jstock-1.0.4i_20090818] , 1903, 231, 67, 11, 11, 6, 220, 80, 97, 52, 189, 3372, true, true
[jtds-1.2.3_20090916] , 2269, 125, 51, 10, 10, 6, 153, 19, 85, 15, 91, 3156, true, true
[jtidy_r881_20090830] , 1451, 234, 62, 4, 4, 3, 184, 96, 50, 29, 188, 2409, true, true
[junit_rc1_20090831] , 1971, 308, 78, 33, 33, 25, 550, 157, 204, 84, 249, 2261, true, true
[jxplorer_20090905] , 2548, 308, 99, 16, 16, 13, 274, 84, 224, 77, 392, 4288, true, true
[jymsg-0.65] , 634, 85, 35, 4, 4, 2, 62, 17, 18, 10, 47, 1037, true, true
[jython_20090905] , 18781, 12255, 392, 43, 43, 34, 887, 546, 11853, 390, 35628, 62958, true, true
[karatasi_20090905] , 340, 26, 13, 0, 0, 0, 47, 6, 24, 7, 46, 509, true, true
[libresource-2.5] , 7090, 729, 99, 17, 17, 13, 874, 421, 281, 155, 397, 12765, true, true
[logicaldoc_20090904] , 4598, 1087, 408, 36, 36, 27, 497, 243, 597, 150, 1109, 5392, true, true
[lslplus_20090905] , 1698, 355, 62, 13, 13, 7, 325, 108, 79, 43, 100, 1475, true, true
[nattable_20090905] , 4312, 1228, 191, 54, 54, 50, 827, 450, 1145, 346, 2077, 6543, true, true
[neodatis-odb_20090904] , 6633, 1952, 727, 48, 48, 29, 933, 310, 1667, 394, 5249, 13897, true, true
[ojalgo-28.0_20090828] , 2525, 515, 136, 17, 17, 11, 291, 90, 197, 45, 339, 2177, true, true
[openSearchServer_20090905] , 2274, 327, 65, 28, 28, 18, 316, 123, 169, 78, 194, 2731, true, true
[opencsv_20090905] , 211, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 96, false, false
[openedit-editor-5.1891_20090903] , 2440, 237, 92, 15, 15, 12, 279, 65, 200, 62, 322, 3267, true, true
[openi_20090905] , 3213, 239, 82, 6, 6, 3, 290, 79, 144, 51, 196, 4100, true, true
[openswing_r296_20090830] , 11529, 2093, 386, 48, 48, 36, 1167, 445, 572, 277, 1353, 14725, true, true
[opproject_20090905] , 6963, 711, 237, 25, 25, 18, 630, 149, 883, 185, 2157, 15083, true, true
[pcgen_r10348_20090830] , 26404, 4775, 519, 99, 99, 64, 3642, 1759, 2842, 1103, 4908, 45041, true, true
[pentahoreporting-sdk-3.5.0-RC1_20090902] , 31, 9, 3, 1, 1, 1, 6, 3, 1, 1, 3, 14, true, true
[phex_20090905] , 6674, 897, 264, 59, 59, 40, 1132, 331, 707, 343, 1182, 11999, true, true
[pmd-4.1] , 4579, 1088, 203, 28, 28, 23, 783, 468, 780, 295, 1690, 9144, true, true
[prefuse-beta_20071021] , 4195, 1649, 476, 28, 28, 25, 511, 376, 922, 304, 1801, 5622, true, true
[rapidminer-4.5-community] , 13413, 5040, 784, 83, 83, 69, 2222, 1380, 2785, 1049, 9895, 25553, true, true
[robocode_r3114_20090830] , 5056, 2012, 699, 32, 32, 27, 588, 355, 969, 259, 2000, 6874, true, true
[rssowl_20090905] , 5724, 1433, 510, 34, 34, 27, 760, 328, 1681, 385, 7528, 15712, true, true
[saros-dpp_r1674_20090830] , 3053, 602, 170, 19, 19, 11, 492, 168, 339, 147, 540, 3241, true, true
[saxon_20090905] , 9582, 5266, 679, 41, 41, 39, 896, 783, 2921, 653, 8066, 21975, true, true
[schemacrawler_20090905] , 801, 328, 150, 2, 2, 1, 71, 62, 107, 39, 301, 988, true, true
[sonar_20090904] , 8382, 1867, 409, 86, 86, 62, 1364, 598, 1215, 446, 1611, 9997, true, true
[sopaui_r2317_20090830] , 12737, 4300, 1147, 94, 94, 84, 1911, 897, 3083, 1044, 7099, 19461, true, true
[spagoBI-2.2.0_06302009] , 14070, 3944, 1438, 86, 86, 64, 1637, 914, 1906, 693, 3858, 25028, true, true
[squirrelsql_20090905] , 1640, 491, 155, 20, 20, 11, 346, 144, 344, 154, 690, 2103, true, true
[textmaker_20090905] , 5341, 782, 181, 43, 43, 33, 915, 361, 424, 253, 715, 6847, true, true
[thingamablog-1.0.6] , 2112, 498, 128, 17, 17, 15, 345, 162, 166, 69, 347, 2972, true, true
[thinwire-1.2_RC2] , 1105, 300, 97, 11, 11, 8, 133, 76, 229, 73, 553, 2210, true, true
[tightvnc-java_20090905] , 462, 20, 6, 3, 3, 3, 43, 14, 15, 4, 23, 582, true, true
[torrentepisodedownloader_20090905] , 1029, 65, 23, 2, 2, 2, 112, 18, 51, 20, 87, 2267, true, true
[trekbuddyatlasc_20090905] , 1605, 336, 105, 14, 14, 11, 274, 105, 166, 74, 344, 1325, true, true
[tuxguitar_20090905] , 4641, 782, 156, 42, 42, 18, 672, 297, 458, 255, 654, 15106, true, true
[tvbrowser_20090905] , 7844, 2114, 496, 45, 45, 39, 1132, 484, 1077, 422, 2426, 14533, true, true
[vuze_4.2.0.8_20090906] , 32511, 17442, 5651, 165, 165, 128, 3696, 3059, 7591, 1930, 20138, 50711, true, true
[xprocess_20090905] , 23704, 8111, 2113, 107, 107, 96, 3089, 1639, 6860, 1757, 21330, 58162, true, true
